Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-05-28,0.5194555776913569,0.4271744159273677,0.47025927617229124,0.42436528016677477
2020-05-29,0.506802761235056,0.4290156005035477,0.45594115011732755,0.4252586177265626
2020-06-01,0.5145908139683697,0.4218350123135898,0.46348868807990523,0.43259828663799593
2020-06-02,0.5073410748533195,0.4223158092030183,0.44903099853365674,0.40985079915067535
2020-06-03,0.4997784537985852,0.41130244995393106,0.44856826495202484,0.4098280134123477
2020-06-04,0.49779991513334976,0.39874432251570324,0.44938142694259653,0.3855634856532165
2020-06-05,0.5044359292161968,0.39886598044243327,0.35227792356406085,0.3917727818874902
2020-06-08,0.5025312133340276,0.369698835617507,0.3543593335265618,0.3544995824250586
2020-06-09,0.5070850158895316,0.3561508095091694,0.3512426743184733,0.3385133271424322
2020-06-10,0.5060247045692279,0.35602532535757503,0.35543671126164766,0.34030991427422114
2020-06-11,0.5116515449613539,0.3597445643911736,0.3629319379575009,0.34676024167502495
2020-06-12,0.4934194193136515,0.35835205061646924,0.37306182895161827,0.34433649459365123
2020-06-15,0.4973185294685334,0.3168784289443953,0.3684062447243533,0.3034965210575017
2020-06-16,0.4559226556896448,0.2707991951647295,0.3609035164783608,0.2763462320622422
2020-06-17,0.4555719085284767,0.2707724510658792,0.3591003839128943,0.2763535851927347
2020-06-18,0.4578434380243477,0.26994468242982056,0.3640590289801623,0.27233761205246476
2020-06-19,0.45222376993380636,0.2730037994949432,0.39365447006799803,0.27105978048078905
2020-06-22,0.45289845930516,0.27123694576159907,0.38445553643894276,0.2728828513439179
2020-06-23,0.45036574997493517,0.2770106481976858,0.3878956098117601,0.26653098463377434
2020-06-24,0.44830626099469745,0.2785899288591615,0.33474161975432704,0.2660783184643975
2020-06-25,0.44304195511849037,0.2840750684950493,0.33301584030611764,0.26938374255506603
2020-06-26,0.43075589957698285,0.30257873227290527,0.304890865339844,0.29430149608432826
2020-06-29,0.4306618611634435,0.31005723461285634,0.30743551560552157,0.29526284806459313
